text,author,published_at,like_count
"I heard this man called Van Jones speaking about gaza children and babies been massacred in Palestine , then i thought , him been a man of colour , what would his soave ancestors say about it.",@yass1068,2025-10-06T20:34:22Z,0
Van Jones is a perfect example of the ADOS black liberals. They only care about racism as it applies to them. They have nothing but jokes when it comes to the Zionist terrorist regime's brutal apartheid colony in Palestine. Wherever you see one of these guys I guarantee there's footage of them at a Diddy party on a hard drive somewhere.,@worldadventuretravel,2025-10-06T20:26:05Z,1
I won't support CNN but props for speaking out about this.,@Daytonamike924,2025-10-06T19:52:14Z,0
https://youtu.be/pmADqgD9A1I?si=o8usvw1EtnDseR3y,@evangelineharper853,2025-10-06T19:03:15Z,0
Van Jones is a complete sellout who mocks dead babies - you are pure evil,@starnorth7620,2025-10-06T18:57:57Z,0
"Put van jones in the back of the bus where he belongs, he shouldn’t be in a suit, he should be working the fields",@seandipaul8257,2025-10-06T17:15:43Z,0
"""I love you like a hog love slop!""  Van, who paid you?  Go home child.",@serqetatun5461,2025-10-06T17:13:48Z,0
"If he was a real man he would be making a joke about seeing charlie kirk dead every time he scrolls tiktoks lol.
But unfortunately he’s so deep in the brainwashing stage it’s impossible looooooooooool",@seandipaul8257,2025-10-06T17:09:39Z,0
What an evil look from van bones,@sheilaC61,2025-10-06T10:28:25Z,0
got any more jokes about dead babies? you complete monster.,@jj-uy6qs,2025-10-05T19:39:36Z,0
"Not a fan of VanJones by he gets props for this interview. Too bad he did not do it before Kirk’s assassination, maybe a few radical thoughts could have silenced. I would like to see VanJones give extra forethought to the words he speaks on his platform to assure they will not inspire any hateful responses to those you disagree with.",@smoky5833,2025-10-05T13:06:11Z,0
Everything is about clicks views subscribers and money 💰 💵.,@Kdnehfw,2025-10-05T02:21:11Z,0
"""Beefing""  ""argument "" ""fighting ""

Its called a debate mate. 
Con ver sat ion. How many on the left can do that like a grown ass adult..?  🤔  not many, the left see words as weapons.  Zero self control of their emotions and actions.  

Im glad this guy saw what Charlie kirk stood for, even if it was too late to have the conversation with kirk in the end.",@pisstoast2.0,2025-10-04T23:18:18Z,0
It's not a civil war that we need it's called a revolution! Our politicians are reporters new stations like you guys get paid millions of dollars to lie to us about Israel and other things.. so when that revolution starts we're coming after people like you bro people that got on TV and lied to the American people you guys are going to be on that list.. the left and right need to come together black and white need to come together all races all kinds of people need to come together and we need to fight against our government! Are government is corrupt by money in Israel and our politicians are in a pedophile ring from Epstein because of Israel all connected dude I'm not talking about the people of Israel I'm talking about their government.. Charlie Kirk opened a lot of people's eyes,@5demelo1daniel0,2025-10-04T00:31:00Z,0
“His mortal enemy” what?,@JoeyJoJoJrShabbado,2025-10-03T19:27:19Z,0
Wow CNN acting credible for a once,@JoeyJoJoJrShabbado,2025-10-03T19:26:40Z,0
"We are allowing social media to turn us against one another. Don’t do it. It is making people crazy. Unite and and treasure are differences. My Mom always said, if we all like the same thing, there would not be enough to go around. Diversity contributes to innovation, but we have to draw the line when it comes to extreme behavior. Majority should always rule, because the majority is likely right. We should not change everything to cater to the one percent who want to identify as something different than what they are. We also need to get back to parenting our children rather than letting them go off in a tangent that is not good for them. Take them to church so they have someone to help them carry their burdens in this life. Our kids so many don’t have parents who parent and they have no relationship with God. This is why our kids are in such sad shape. They are either delinquent or mentally weak. I am not talking about all kids but about those that cause the problems particularly in our black communities. We all need to come together for the sake of the children and quit bickering about things that don’t really matter. Make sure your kids are in school and that the schools are teaching what will enable them to function in society. The problem is the parents and the school system and this is where the fix is. Congress just applies band-aides but the problem can only be fixed at the root. The root cause is people’s inability to parent and the failure of our school systems. Also, our children need a religious upbringing. It establishes a moral compass for them. I challenge everyone to unite in an endeavor to change this. Makes some freaking noise. Our black communities deserve better. Government assistance keeps them from striving for better.",@RJMCS101,2025-10-03T18:08:25Z,0
"The guy on the train was looking for a white person. Nothing can be clearer these days with the very skewed stats on blk on white murders. So lets just be honest. That said good of Van to come out. As far as civil war, some of these lunatic democrats already are and we just dont want to admit that yet.",@charlesb5007,2025-10-03T14:46:41Z,0
Rubbish Kirk was a POS,@deanburrows8355,2025-10-03T08:08:46Z,0
Never heard of Van Jones. Will look him up.,@Menomeny1981,2025-10-03T05:38:30Z,1
